tahun,bulan,benua,region,nama_negara,nilai_impor
2005,"Juni","Asia dan Timur Tengah","Timur Tengah","Irak",0
2005,"Juni","Asia dan Timur Tengah","Asia Timur","Jepang",881907
2005,"Juni","Asia dan Timur Tengah","Asia Timur","Korea Selatan",364148
2005,"Juni","Asia dan Timur Tengah","Asia Selatan","Pakistan",4969
2005,"Juni","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",649622
2005,"Juni","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",211765
2005,"Juni","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",165448
2005,"Juni","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",180612
2005,"Juni","Australia dan Oceania","Australia","Australia",222619
2005,"Juni","Australia dan Oceania","New Zealand","New Zealand",25191
2005,"Juni","Afrika","Afrika Selatan","Afrika Selatan",13110
2005,"Juni","Afrika","Afrika Lainnya","Afrika lainnya",81612
2005,"Juni","Keterangan Lainnya","Keterangan Lainnya","Impor yang tidak dapat diklasifikasikan  2)",88000
2005,"Juni","Keterangan Lainnya","Keterangan Lainnya","Asuransi dan ongkos pengangkutan",513247
2005,"Juli","Amerika","Amerika Utara","Amerika Serikat",418746
2005,"Juli","Amerika","Amerika Utara","Kanada",115812
2005,"Juli","Amerika","Amerika Tengah dan Selatan","Argentina",35869
2005,"Juli","Amerika","Amerika Tengah dan Selatan","Brasil",36803
2005,"Juli","Amerika","Amerika Tengah dan Selatan","Meksiko",2689
2005,"Juli","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",13906
2005,"Juli","Eropa","Uni Eropa","Belanda",55165
2005,"Juli","Eropa","Uni Eropa","Belgia",31905
2005,"Juli","Eropa","Uni Eropa","Inggris",58882
2005,"Juli","Eropa","Uni Eropa","Italia",58943
2005,"Juli","Eropa","Uni Eropa","Jerman",173356
2005,"Juli","Eropa","Uni Eropa","Perancis",62005
2005,"Juli","Eropa","Uni Eropa","Spanyol",22228
2005,"Juli","Eropa","Uni Eropa","Uni Eropa lainnya ",104027
2005,"Juli","Eropa","Rusia","Rusia",20198
2005,"Juli","Eropa","Turki","Turki",8807
2005,"Juli","Eropa","Eropa Lainnya","Eropa lainnya",64317
2005,"Juli","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",77640
2005,"Juli","Asia dan Timur Tengah","ASEAN","Filipina",45625
2005,"Juli","Asia dan Timur Tengah","ASEAN","Kamboja",117
2005,"Juli","Asia dan Timur Tengah","ASEAN","Laos",0
2005,"Juli","Asia dan Timur Tengah","ASEAN","Malaysia",194578
2005,"Juli","Asia dan Timur Tengah","ASEAN","Myanmar",657
2005,"Juli","Asia dan Timur Tengah","ASEAN","Singapura",1501236
